,Area,WC,PN,Price,Floor,HouseType,Location
110,57.0,2.0,3.0,5.2,3.6666666666666665,5.5437090053763445,5.831480472297911
113,40.0,3.0,2.0,4.8,3.0,5.5437090053763445,5.624838426204724
114,65.0,4.0,3.0,5.9,2.0,5.5437090053763445,6.642669902912622
115,150.0,3.0,4.0,5.5,3.0,7.485200839463087,6.305351941747572
116,31.0,2.3333333333333335,2.0,3.29,3.0,5.5437090053763445,5.624838426204724
117,31.0,2.3333333333333335,2.0,3.29,3.0,5.5437090053763445,5.624838426204724
118,74.0,1.0,2.0,8.6,1.0,5.5437090053763445,5.624838426204724
119,28.0,2.0,2.0,2.8,3.0,7.485200839463087,6.305351941747572
120,89.0,2.0,2.0,3.7,4.0,5.5437090053763445,5.2687857142857135
121,60.0,2.6666666666666665,3.0,4.0,3.0,7.485200839463087,5.624838426204724
122,72.0,6.0,4.0,6.6,3.0,5.5437090053763445,5.831480472297911
124,64.0,4.0,4.0,5.1,3.0,5.5437090053763445,5.831480472297911
125,55.0,2.6666666666666665,3.0,4.15,3.0,5.5437090053763445,5.2687857142857135
127,30.0,1.0,1.0,1.6,1.0,5.5437090053763445,4.4555384615384614
128,110.0,3.0,3.0,4.8,2.0,5.5437090053763445,4.2203448275862065
129,40.0,2.0,2.6666666666666665,3.0,1.0,5.5437090053763445,5.2687857142857135
130,75.0,2.0,3.0,3.7,2.0,5.5437090053763445,5.4311051212938
131,46.0,3.3333333333333335,4.0,5.0,4.0,5.5437090053763445,6.305351941747572
132,80.0,5.333333333333333,4.0,12.0,3.0,5.5437090053763445,5.2687857142857135
133,22.0,4.0,3.0,4.6,4.0,6.589457364341085,7.197767857142857
137,100.0,3.0,4.0,6.4,3.0,5.5437090053763445,5.2687857142857135
138,40.0,2.0,2.0,4.5,2.0,5.5437090053763445,6.308395494367961
139,100.0,5.0,4.0,12.5,3.0,5.5437090053763445,5.2687857142857135
141,50.0,2.0,2.0,3.5,2.0,5.5437090053763445,5.2687857142857135
142,44.0,1.0,1.0,5.9,2.3333333333333335,5.5437090053763445,6.305351941747572
143,30.0,2.0,2.0,5.49,2.0,7.485200839463087,6.305351941747572
144,39.0,3.0,3.0,4.2,3.0,5.5437090053763445,6.305351941747572
145,58.0,3.6666666666666665,3.0,4.6,4.0,5.5437090053763445,5.2687857142857135
147,48.0,5.0,4.0,4.7,3.0,5.5437090053763445,5.2687857142857135
148,112.0,1.0,1.0,10.5,1.0,5.5437090053763445,5.2687857142857135
149,72.0,6.0,5.0,12.8,4.0,7.485200839463087,4.4488392857142856
151,56.0,3.0,5.0,8.5,3.0,5.5437090053763445,7.340891402714932
152,54.0,2.6666666666666665,2.6666666666666665,4.5,3.0,5.5437090053763445,5.2687857142857135
154,65.0,5.0,4.0,6.8,3.0,5.5437090053763445,5.583661764705883
155,64.0,2.3333333333333335,2.6666666666666665,4.35,4.0,5.5437090053763445,5.2687857142857135
156,74.0,2.0,3.0,4.4,2.0,5.5437090053763445,6.305351941747572
158,76.0,4.0,4.0,5.5,3.0,5.5437090053763445,5.624838426204724
159,55.0,3.0,4.0,6.0,2.0,7.485200839463087,5.4311051212938
162,60.0,5.0,4.0,11.5,3.0,5.5437090053763445,5.2687857142857135
163,84.0,3.0,4.0,9.6,3.0,5.5437090053763445,5.2687857142857135
